Date,Open,High,Low,Close,Adj Close,Volume
2016-05-19,29.344263,29.544626,29.134790,32.260002,29.380692,2836900
2016-05-20,29.581057,29.635702,29.225864,32.340000,29.453552,3033300
2016-05-23,29.508196,29.763206,29.253187,32.460003,29.562841,2739100
2016-05-24,29.799635,30.054646,29.581057,32.560001,29.653915,3863100
2016-05-25,29.690346,29.781422,29.125683,32.580002,29.672131,3249900
2016-05-26,29.708561,29.936247,29.562841,32.680000,29.763206,2253800
2016-05-27,29.772314,30.227686,29.772314,33.040001,30.091074,2303700
2016-05-31,30.091074,30.145720,29.708561,32.869999,29.936247,9765700
2016-06-01,29.845173,30.182150,29.790527,33.110001,30.154827,3140500
2016-06-02,30.081966,30.409836,29.908926,33.370003,30.391621,2135400
2016-06-03,30.528233,30.965391,30.382513,33.570000,30.573771,2986700
2016-06-06,30.601093,30.737705,30.109289,33.420002,30.437159,2746900
2016-06-07,30.455374,31.120218,30.455374,34.060001,31.020037,3180700
2016-06-08,30.965391,31.320583,30.746813,34.370003,31.302368,2635400
2016-06-09,31.275045,31.429873,31.029144,34.480000,31.402550,2211200
2016-06-10,31.220400,31.420765,31.102003,34.430004,31.357014,2403200
2016-06-13,31.357014,31.857924,31.357014,34.590000,31.502731,2670900
2016-06-14,31.475410,31.593807,31.247723,34.500000,31.420765,2887700
2016-06-15,31.429873,31.985428,31.429873,34.800003,31.693989,3372800
2016-06-16,31.602915,31.857924,31.539162,34.940002,31.821493,2998100
2016-06-17,31.794170,32.167576,31.666666,35.180000,32.040073,5145100
2016-06-20,32.185791,32.267761,31.748634,34.870003,31.757742,4300600
2016-06-21,31.857924,32.030964,31.675774,35.010002,31.885246,3247800
2016-06-22,30.728598,31.320583,30.719490,34.050003,31.010929,5539500
2016-06-23,31.202187,31.530054,30.910748,34.110001,31.065575,4100600
2016-06-24,30.546448,31.857924,30.437159,34.230003,31.174864,6483400
2016-06-27,31.029144,31.256830,30.601093,34.180000,31.129326,5117400
2016-06-28,31.357014,31.857924,31.156649,34.970001,31.848816,5379200
2016-06-29,31.912569,32.440800,31.857924,35.370003,32.213116,4096700
2016-06-30,32.295082,32.404373,31.721312,35.380001,32.222221,3877300
2016-07-01,32.313297,32.650272,32.112934,35.320000,32.167576,2579600
2016-07-05,32.149361,32.550091,32.067394,35.730003,32.540985,3733200
2016-07-06,32.440800,32.577412,31.985428,35.529999,32.358833,3039800
2016-07-07,32.258652,32.331512,31.475410,34.880001,31.766850,3902300
2016-07-08,32.222221,32.732239,31.867031,35.939999,32.732239,4425000
2016-07-11,32.786884,33.387978,32.595627,36.540005,33.278690,4478300
2016-07-12,33.324226,33.970856,33.187614,37.029999,33.724953,6231700
2016-07-13,33.825138,34.089252,33.360657,37.430000,34.089252,3751600
2016-07-14,33.952641,34.007286,33.387978,36.950005,33.652096,2778200
2016-07-15,33.670311,34.153004,33.497269,37.430000,34.089252,4125400
2016-07-18,34.125683,34.244080,33.852459,37.369999,34.034607,3073900
2016-07-19,34.153004,34.763206,33.998180,38.130001,34.726776,3205200
2016-07-20,34.681240,34.918034,34.471767,38.340004,34.918034,3812900
2016-07-21,34.817852,35.255009,34.690346,38.550003,35.109291,3479700
2016-07-22,35.027321,35.519127,34.954464,38.900002,35.428051,2879300
2016-07-25,35.428051,35.591984,35.154827,39.080002,35.591984,3078800
2016-07-26,35.409836,35.500912,35.173042,38.820000,35.355190,3492500
2016-07-27,35.327869,35.391621,34.899818,38.670002,35.218578,3049500
2016-07-28,35.236794,35.683060,34.945354,39.020004,35.537342,3645900
2016-07-29,35.564663,36.065575,35.555557,39.230000,35.728596,5282600
2016-08-01,35.728596,35.956284,35.537342,39.450005,35.928963,2515300
2016-08-02,35.828781,35.947178,35.355190,38.960003,35.482697,2705700
2016-08-03,35.519127,35.637524,34.972679,39.090004,35.601093,2924000
2016-08-04,35.000000,35.136612,34.772312,38.500000,35.063751,2568300
2016-08-05,35.063751,35.236794,34.881603,38.410000,34.981785,2037300
2016-08-08,35.009106,35.227688,34.854282,38.439999,35.009106,2224500
2016-08-09,35.054646,35.628414,34.608379,38.950001,35.473587,4946200
2016-08-10,35.591984,36.311474,35.591984,39.500000,35.974499,5030400
2016-08-11,35.965393,36.065575,34.918034,38.560001,35.118397,4643400
2016-08-12,35.173042,35.956284,35.118397,39.130001,35.637524,2929900
2016-08-15,35.637524,35.983608,35.573769,39.490002,35.965393,4180300
2016-08-16,35.792351,35.837887,35.564663,39.230000,35.728596,5353300
2016-08-17,35.801456,36.193077,35.546448,39.610001,36.074680,6214600
2016-08-18,35.965393,36.393444,35.965393,39.840000,36.284153,4384100
2016-08-19,36.174862,36.393444,35.755920,39.470001,35.947178,4414700
2016-08-22,35.956284,36.165756,35.737705,39.420002,35.901638,3926000
2016-08-23,36.092896,36.420765,35.947178,39.780003,36.229507,2638500
2016-08-24,36.238617,36.357014,35.728596,39.459999,35.938068,1721400
2016-08-25,35.938068,36.338799,35.856102,39.580002,36.047359,1898100
2016-08-26,36.129326,36.238617,35.000000,38.740005,35.282333,3233300
2016-08-29,35.282333,35.865208,35.282333,39.130001,35.637524,2053000
2016-08-30,35.728596,35.919853,35.400730,39.420002,35.901638,2401700
2016-08-31,35.910748,36.056465,35.610199,39.330002,35.819672,3368700
2016-09-01,35.837887,35.874317,35.145718,38.799999,35.336975,2929700
2016-09-02,35.437157,36.047359,35.273224,39.080002,35.591984,2151000
2016-09-06,35.683060,36.566486,35.528233,40.130005,36.548271,4007700
2016-09-07,36.448086,36.821495,36.411659,40.330002,36.730419,3447800
2016-09-08,36.502731,36.502731,35.865208,39.600002,36.065575,7957800
2016-09-09,35.692169,35.692169,34.444443,38.130001,34.726776,7225900
2016-09-12,34.517303,35.018215,34.307831,38.100002,34.699455,5721500
2016-09-13,34.517303,34.617485,33.524590,36.950005,33.652096,4231600
2016-09-14,33.806923,33.989071,33.415302,36.940002,33.642986,3294000
2016-09-15,33.597450,33.888889,33.378872,37.029999,33.724953,2594600
2016-09-16,33.588341,33.897995,33.378872,37.160004,33.843353,4717900
2016-09-19,33.979965,34.162113,33.888889,37.440002,34.098362,2902800
2016-09-20,34.362476,34.562843,34.189434,37.640003,34.280510,2779700
2016-09-21,34.271404,34.799637,33.806923,38.150002,34.744991,2842600
2016-09-22,34.972679,35.500912,34.908924,38.910000,35.437157,3195800
2016-09-23,35.346085,36.001820,35.027321,39.280003,35.774136,3515900
2016-09-26,35.628414,36.156647,35.555557,39.600002,36.065575,3768700
2016-09-27,36.065575,36.074680,35.209473,38.759998,35.300545,4077400
2016-09-28,35.446266,35.856102,35.346085,39.340004,35.828781,2315800
2016-09-29,35.673954,35.810566,35.081966,38.540001,35.100182,3209000
2016-09-30,35.355190,35.610199,34.535519,37.950005,34.562843,4596400
2016-10-03,34.408016,34.690346,34.162113,37.610004,34.253189,3345100
2016-10-04,34.389801,34.444443,33.205830,36.840004,33.551914,4699400
2016-10-05,33.670311,33.870674,32.841530,36.310001,33.069218,3217000
2016-10-06,32.950821,33.142078,32.495445,35.950001,32.741348,2837100
2016-10-07,32.887066,33.433514,32.650272,35.910000,32.704918,2972400
2016-10-10,32.741348,33.051003,32.695812,36.060001,32.841530,1575200
2016-10-11,32.750454,32.914391,32.358833,35.750004,32.559200,2287400
2016-10-12,32.531876,32.896175,32.449909,36.090000,32.868851,2416000
2016-10-13,32.723133,33.378872,32.568306,36.470001,33.214935,3130600
2016-10-14,33.214935,33.397087,32.905281,36.239998,33.005463,1795200
2016-10-17,33.023678,33.360657,32.868851,36.320000,33.078323,2777800
2016-10-18,33.296902,33.779598,33.132969,36.690002,33.415302,2716100
2016-10-19,33.433514,34.016392,33.333332,36.850002,33.561020,3194100
2016-10-20,33.488159,33.688526,33.306011,36.660000,33.387978,2611200
2016-10-21,33.132969,33.333332,32.586521,35.850002,32.650272,4724400
2016-10-24,32.868851,33.260475,32.604736,36.080002,32.859745,3135700
2016-10-25,32.905281,32.923496,32.404373,35.590000,32.413479,3507500
2016-10-26,32.367943,32.440800,31.757742,35.070000,31.939890,4188900
2016-10-27,31.876139,31.876139,30.983606,34.080002,31.038252,4387800
2016-10-28,31.156649,31.384335,31.020037,34.139999,31.092896,3650300
2016-10-31,31.211294,31.375227,31.083788,34.250004,31.193079,5827500
2016-11-01,30.950001,32.320000,30.250000,30.469999,30.469999,10682700
2016-11-02,30.410000,30.450001,29.219999,29.230000,29.230000,6656600
2016-11-03,29.230000,29.230000,28.379999,28.670000,28.670000,6363100
2016-11-04,28.770000,29.570000,28.610001,29.520000,29.520000,7522400
2016-11-07,29.940001,30.280001,29.660000,30.260000,30.260000,5102100
2016-11-08,29.820000,29.840000,29.280001,29.709999,29.709999,4477000
2016-11-09,28.760000,29.379999,27.889999,28.830000,28.830000,6493700
2016-11-10,28.660000,28.790001,27.610001,27.940001,27.940001,7961200
2016-11-11,27.850000,28.410000,27.850000,28.100000,28.100000,4526300
2016-11-14,27.980000,29.510000,27.850000,29.400000,29.400000,5546000
2016-11-15,29.510000,29.959999,28.980000,29.410000,29.410000,4668700
2016-11-16,29.340000,29.610001,29.070000,29.320000,29.320000,2261100
2016-11-17,29.209999,29.350000,28.670000,28.760000,28.760000,2695200
2016-11-18,28.780001,28.940001,28.480000,28.680000,28.680000,3052700
2016-11-21,29.020000,29.330000,28.600000,28.670000,28.670000,3473200
2016-11-22,29.030001,29.430000,28.549999,29.400000,29.400000,3896900
2016-11-23,29.160000,29.570000,28.920000,29.510000,29.510000,4938300
2016-11-25,29.590000,29.650000,29.129999,29.260000,29.260000,2109100
2016-11-28,29.250000,29.780001,29.200001,29.379999,29.379999,4247400
2016-11-29,29.379999,29.900000,29.330000,29.600000,29.600000,4169200
2016-11-30,29.330000,29.670000,29.010000,29.530001,29.530001,5586500
2016-12-01,29.330000,29.350000,28.420000,28.610001,28.610001,4239800
2016-12-02,28.760000,29.459999,28.760000,29.080000,29.080000,2709300
2016-12-05,29.150000,29.260000,28.820000,29.230000,29.230000,3194500
2016-12-06,29.280001,29.629999,29.190001,29.430000,29.430000,3374500
2016-12-07,29.549999,30.190001,29.500000,30.129999,30.129999,3792200
2016-12-08,29.870001,30.440001,29.700001,30.110001,30.110001,4607000
2016-12-09,30.190001,30.580000,29.950001,30.040001,30.040001,4324400
2016-12-12,29.910000,30.360001,29.730000,30.350000,30.350000,4224600
2016-12-13,30.549999,30.680000,30.040001,30.389999,30.389999,4855200
